Metric,LifeStage,Suitability,Cur,WC
Dry Season Baseflow,Adult,High,29,32
Dry Season Baseflow,Adult,Low,10,12
Dry Season Baseflow,Adult,Partial,6,1
Spring Recession,Adult & Seedling,High,19,19
Spring Recession,Adult & Seedling,Low,26,26
Wet Season Baseflow,Adult,High,33,34
Wet Season Baseflow,Adult,Low,8,8
Wet Season Baseflow,Adult,Partial,4,3
